task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
prepare,C1-node1,worker-c1-1,1774175834403,1774175834604,0.201
autodock026,C1-node5,worker-c1-5,1774175839833,1774175840897,1.064
autodock027,C1-node6,worker-c1-6,1774175839428,1774175841532,2.104
autodock024,C1-node3,worker-c1-3,1774175839911,1774175840843,0.932
autodock025,C1-node4,worker-c1-4,1774175839436,1774175840990,1.554
autodock028,C1-node7,worker-c1-7,1774175838152,1774175839700,1.548
autodock029,C3-node1,worker-c3-1,1774175840508,1774175842345,1.837
autodock022,C1-node1,worker-c1-1,1774175834861,1774175839647,4.786
autodock023,C1-node2,worker-c1-2,1774175839548,1774175840502,0.954
autodock020,C1-node6,worker-c1-6,1774175839432,1774175841485,2.053
autodock021,C1-node7,worker-c1-7,1774175839411,1774175840713,1.302
autodock037,C2-node2,worker-c2-2,1774175841831,1774175842723,0.892
autodock038,C2-node3,worker-c2-3,1774175841495,1774175842592,1.097
autodock035,C3-node7,worker-c3-7,1774175841501,1774175843499,1.998
autodock036,C2-node1,worker-c2-1,1774175841491,1774175842603,1.112
autodock039,C2-node4,worker-c2-4,1774175841723,1774175842616,0.893
autodock030,C3-node2,worker-c3-2,1774175840895,1774175842808,1.913
autodock033,C3-node5,worker-c3-5,1774175840913,1774175843226,2.313
autodock034,C3-node6,worker-c3-6,1774175841493,1774175843406,1.913
autodock031,C3-node3,worker-c3-3,1774175840676,1774175842606,1.930
autodock032,C3-node4,worker-c3-4,1774175840682,1774175842625,1.943
autodock004,C1-node4,worker-c1-4,1774175837815,1774175838801,0.986
autodock005,C1-node5,worker-c1-5,1774175839123,1774175840310,1.187
autodock002,C1-node2,worker-c1-2,1774175837911,1774175838827,0.916
autodock003,C1-node3,worker-c1-3,1774175838247,1774175839942,1.695
autodock008,C2-node1,worker-c2-1,1774175837578,1774175838815,1.237
autodock009,C2-node2,worker-c2-2,1774175839135,1774175840692,1.557
autodock006,C1-node6,worker-c1-6,1774175839140,1774175841101,1.961
autodock007,C1-node7,worker-c1-7,1774175838409,1774175840204,1.795
autodock084,C4-node7,worker-c4-7,1774175846503,1774175854626,8.123
autodock085,C1-node1,worker-c1-1,1774175844798,1774175847012,2.214
autodock082,C4-node5,worker-c4-5,1774175845843,1774175853104,7.261
autodock083,C4-node6,worker-c4-6,1774175846246,1774175853990,7.744
autodock088,C1-node4,worker-c1-4,1774175847037,1774175847730,0.693
autodock001,C1-node1,worker-c1-1,1774175834834,1774175839422,4.588
autodock089,C1-node5,worker-c1-5,1774175847134,1774175847733,0.599
autodock086,C1-node2,worker-c1-2,1774175847000,1774175847641,0.641
autodock087,C1-node3,worker-c1-3,1774175847018,1774175847649,0.631
autodock080,C4-node3,worker-c4-3,1774175846222,1774175854113,7.891
autodock081,C4-node4,worker-c4-4,1774175846408,1774175854204,7.796
