task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
prepare,C1-node1,worker-c1-1,1774178194081,1774178194228,0.147
autodock026,C1-node1,worker-c1-1,1774178198085,1774178199919,1.834
autodock027,C1-node2,worker-c1-2,1774178199988,1774178200791,0.803
autodock024,C1-node3,worker-c1-3,1774178199496,1774178200202,0.706
autodock025,C1-node4,worker-c1-4,1774178199294,1774178200103,0.809
autodock028,C1-node3,worker-c1-3,1774178199992,1774178200823,0.831
autodock029,C1-node4,worker-c1-4,1774178200609,1774178201239,0.630
autodock022,C1-node1,worker-c1-1,1774178197733,1774178199694,1.961
autodock023,C1-node2,worker-c1-2,1774178199300,1774178200168,0.868
autodock020,C2-node2,worker-c2-2,1774178198825,1774178199741,0.916
autodock021,C2-node3,worker-c2-3,1774178198715,1774178199716,1.001
autodock037,C1-node1,worker-c1-1,1774178200629,1774178202221,1.592
autodock038,C1-node2,worker-c1-2,1774178201902,1774178202622,0.720
autodock035,C1-node3,worker-c1-3,1774178201204,1774178201998,0.794
autodock036,C1-node4,worker-c1-4,1774178201437,1774178202301,0.864
autodock039,C1-node3,worker-c1-3,1774178201995,1774178202785,0.790
autodock030,C2-node1,worker-c2-1,1774178200513,1774178201529,1.016
autodock033,C1-node1,worker-c1-1,1774178199921,1774178201289,1.368
autodock034,C1-node2,worker-c1-2,1774178201218,1774178201991,0.773
autodock031,C2-node2,worker-c2-2,1774178200612,1774178201620,1.008
autodock032,C2-node3,worker-c2-3,1774178200520,1774178201521,1.001
autodock004,C1-node4,worker-c1-4,1774178195907,1774178196527,0.620
autodock005,C2-node1,worker-c2-1,1774178196095,1774178197387,1.292
autodock002,C1-node2,worker-c1-2,1774178196396,1774178198041,1.645
autodock003,C1-node3,worker-c1-3,1774178195993,1774178197391,1.398
autodock008,C1-node1,worker-c1-1,1774178194405,1774178198015,3.610
autodock009,C1-node2,worker-c1-2,1774178196299,1774178198028,1.729
autodock006,C2-node2,worker-c2-2,1774178196093,1774178197399,1.306
autodock007,C2-node3,worker-c2-3,1774178196501,1774178197732,1.231
autodock084,C2-node2,worker-c2-2,1774178208399,1774178209221,0.822
autodock085,C2-node3,worker-c2-3,1774178208402,1774178209290,0.888
autodock082,C1-node4,worker-c1-4,1774178208096,1774178208693,0.597
autodock083,C2-node1,worker-c2-1,1774178208293,1774178209229,0.936
autodock088,C1-node3,worker-c1-3,1774178208893,1774178209516,0.623
autodock001,C1-node1,worker-c1-1,1774178194399,1774178197586,3.187
autodock089,C1-node4,worker-c1-4,1774178208804,1774178209411,0.607
autodock086,C1-node1,worker-c1-1,1774178207513,1774178209185,1.672
autodock087,C1-node2,worker-c1-2,1774178208589,1774178209226,0.637
autodock080,C1-node2,worker-c1-2,1774178207497,1774178208091,0.594
autodock081,C1-node3,worker-c1-3,1774178207695,1774178208286,0.591
autodock015,C1-node4,worker-c1-4,1774178198023,1774178198749,0.726
autodock016,C3-node1,worker-c3-1,1774178198504,1774178200631,2.127
autodock013,C1-node2,worker-c1-2,1774178195814,1774178196589,0.775
autodock014,C1-node3,worker-c1-3,1774178198021,1774178198790,0.769
autodock019,C2-node1,worker-c2-1,1774178198608,1774178199620,1.012
autodock017,C3-node2,worker-c3-2,1774178198621,1774178200719,2.098
autodock018,C3-node3,worker-c3-3,1774178198514,1774178200628,2.114
autodock095,C4-node2,worker-c4-2,1774178209717,1774178218998,9.281
autodock096,C4-node3,worker-c4-3,1774178209876,1774178219710,9.834
autodock093,C1-node4,worker-c1-4,1774178209381,1774178209980,0.599
autodock094,C4-node1,worker-c4-1,1774178209398,1774178217901,8.503
autodock011,C1-node4,worker-c1-4,1774178196503,1774178197242,0.739
autodock099,C3-node3,worker-c3-3,1774178209999,1774178214808,4.809
autodock012,C1-node1,worker-c1-1,1774178194402,1774178198083,3.681
autodock097,C3-node1,worker-c3-1,1774178209996,1774178214933,4.937
autodock010,C1-node3,worker-c1-3,1774178196206,1774178197623,1.417
autodock098,C3-node2,worker-c3-2,1774178210007,1774178214798,4.791
autodock091,C1-node2,worker-c1-2,1774178209183,1774178209817,0.634
autodock092,C1-node3,worker-c1-3,1774178209481,1774178210020,0.539
autodock090,C1-node1,worker-c1-1,1774178208090,1774178209712,1.622
autodock068,C1-node4,worker-c1-4,1774178206025,1774178206718,0.693
autodock069,C3-node1,worker-c3-1,1774178206310,1774178208088,1.778
autodock062,C1-node2,worker-c1-2,1774178205112,1774178205708,0.596
autodock063,C1-node3,worker-c1-3,1774178205295,1774178206031,0.736
autodock060,C2-node3,worker-c2-3,1774178204705,1774178205617,0.912
autodock061,C1-node1,worker-c1-1,1774178204121,1774178204946,0.825
autodock066,C1-node2,worker-c1-2,1774178205903,1774178206605,0.702
autodock067,C1-node3,worker-c1-3,1774178205991,1774178206704,0.713
autodock100,C2-node1,worker-c2-1,1774178209993,1774178211846,1.853
autodock064,C1-node4,worker-c1-4,1774178205216,1774178205812,0.596
autodock065,C1-node1,worker-c1-1,1774178204948,1774178205907,0.959
autodock079,C1-node1,worker-c1-1,1774178206607,1774178207887,1.280
autodock073,C2-node2,worker-c2-2,1774178206600,1774178207511,0.911
autodock074,C2-node3,worker-c2-3,1774178206614,1774178207430,0.816
autodock071,C3-node3,worker-c3-3,1774178206603,1774178208416,1.813
autodock072,C2-node1,worker-c2-1,1774178206499,1774178207424,0.925
autodock077,C1-node3,worker-c1-3,1774178207097,1774178207691,0.594
autodock078,C1-node4,worker-c1-4,1774178207205,1774178207809,0.604
autodock075,C1-node1,worker-c1-1,1774178205909,1774178207099,1.190
autodock076,C1-node2,worker-c1-2,1774178206900,1774178207490,0.590
autogrid,C1-node1,worker-c1-1,1774178194230,1774178194396,0.166
autodock070,C3-node2,worker-c3-2,1774178206397,1774178208289,1.892
autodock048,C2-node2,worker-c2-2,1774178202795,1774178203717,0.922
autodock049,C2-node3,worker-c2-3,1774178202910,1774178203796,0.886
autodock046,C3-node3,worker-c3-3,1774178202539,1774178204406,1.867
autodock047,C2-node1,worker-c2-1,1774178202792,1774178203721,0.929
autodock040,C1-node4,worker-c1-4,1774178201891,1774178202818,0.927
autodock041,C4-node1,worker-c4-1,1774178201707,1774178205689,3.982
autodock044,C3-node1,worker-c3-1,1774178202451,1774178204392,1.941
autodock045,C3-node2,worker-c3-2,1774178202448,1774178204326,1.878
autodock042,C4-node2,worker-c4-2,1774178202406,1774178206291,3.885
autodock043,C4-node3,worker-c4-3,1774178202347,1774178206284,3.937
autodock059,C2-node2,worker-c2-2,1774178204437,1774178205489,1.052
autodock057,C1-node4,worker-c1-4,1774178204355,1774178205025,0.670
autodock058,C2-node1,worker-c2-1,1774178204416,1774178205495,1.079
autodock051,C1-node2,worker-c1-2,1774178203292,1774178203832,0.540
autodock052,C1-node3,worker-c1-3,1774178203376,1774178203991,0.615
autodock050,C1-node1,worker-c1-1,1774178202303,1774178203117,0.814
autodock055,C1-node2,worker-c1-2,1774178204333,1774178205014,0.681
autodock056,C1-node3,worker-c1-3,1774178204322,1774178205128,0.806
autodock053,C1-node4,worker-c1-4,1774178203505,1774178204119,0.614
autodock054,C1-node1,worker-c1-1,1774178203118,1774178203723,0.605
