task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
prepare,C1-node1,worker-c1-1,1774258673856,1774258674064,0.208
autodock026,C1-node2,worker-c1-2,1774258676420,1774258676580,0.160
autodock027,C1-node3,worker-c1-3,1774258676505,1774258676651,0.146
autodock024,C2-node4,worker-c2-4,1774258676879,1774258677200,0.321
autodock025,C1-node1,worker-c1-1,1774258675802,1774258676017,0.215
autodock028,C1-node4,worker-c1-4,1774258676556,1774258676700,0.144
autodock029,C1-node1,worker-c1-1,1774258675920,1774258676179,0.259
autodock022,C2-node2,worker-c2-2,1774258676863,1774258677169,0.306
autodock023,C2-node3,worker-c2-3,1774258677032,1774258677309,0.277
autodock020,C3-node4,worker-c3-4,1774258676602,1774258677075,0.473
autodock021,C2-node1,worker-c2-1,1774258676824,1774258677169,0.345
autodock037,C1-node1,worker-c1-1,1774258676653,1774258676813,0.160
autodock038,C1-node2,worker-c1-2,1774258677230,1774258677405,0.175
autodock035,C2-node3,worker-c2-3,1774258677266,1774258677555,0.289
autodock036,C2-node4,worker-c2-4,1774258677432,1774258677722,0.290
autodock039,C1-node3,worker-c1-3,1774258677256,1774258677437,0.181
autodock030,C1-node2,worker-c1-2,1774258676590,1774258676734,0.144
autodock033,C2-node1,worker-c2-1,1774258677047,1774258677309,0.262
autodock034,C2-node2,worker-c2-2,1774258677140,1774258677402,0.262
autodock031,C1-node3,worker-c1-3,1774258676584,1774258676728,0.144
autodock032,C1-node4,worker-c1-4,1774258676621,1774258676785,0.164
autodock004,C1-node4,worker-c1-4,1774258675500,1774258675729,0.229
autodock005,C2-node1,worker-c2-1,1774258675337,1774258675642,0.305
autodock002,C1-node2,worker-c1-2,1774258675498,1774258675725,0.227
autodock003,C1-node3,worker-c1-3,1774258675573,1774258675867,0.294
autodock008,C2-node4,worker-c2-4,1774258675585,1774258675918,0.333
autodock009,C1-node1,worker-c1-1,1774258674254,1774258674686,0.432
autodock006,C2-node2,worker-c2-2,1774258675568,1774258675917,0.349
autodock007,C2-node3,worker-c2-3,1774258675583,1774258675918,0.335
autodock084,C1-node1,worker-c1-1,1774258679551,1774258679699,0.148
autodock085,C1-node2,worker-c1-2,1774258680033,1774258680192,0.159
autodock082,C2-node3,worker-c2-3,1774258680490,1774258681117,0.627
autodock083,C2-node4,worker-c2-4,1774258680489,1774258681118,0.629
autodock088,C1-node1,worker-c1-1,1774258679675,1774258679819,0.144
autodock001,C1-node1,worker-c1-1,1774258674250,1774258674568,0.318
autodock089,C1-node2,worker-c1-2,1774258680175,1774258680332,0.157
autodock086,C1-node3,worker-c1-3,1774258680055,1774258680223,0.168
autodock087,C1-node4,worker-c1-4,1774258680101,1774258680285,0.184
autodock080,C2-node1,worker-c2-1,1774258680137,1774258680531,0.394
autodock081,C2-node2,worker-c2-2,1774258680433,1774258680824,0.391
autodock015,C1-node3,worker-c1-3,1774258675564,1774258675797,0.233
autodock016,C1-node4,worker-c1-4,1774258675609,1774258675836,0.227
autodock013,C1-node1,worker-c1-1,1774258674258,1774258674801,0.543
autodock014,C1-node2,worker-c1-2,1774258675469,1774258675690,0.221
autodock019,C3-node3,worker-c3-3,1774258676725,1774258677246,0.521
autodock017,C3-node1,worker-c3-1,1774258675812,1774258676144,0.332
autodock018,C3-node2,worker-c3-2,1774258675979,1774258676356,0.377
autodock095,C2-node4,worker-c2-4,1774258681122,1774258681423,0.301
autodock096,C1-node1,worker-c1-1,1774258680224,1774258680380,0.156
autodock093,C2-node2,worker-c2-2,1774258681107,1774258681417,0.310
autodock094,C2-node3,worker-c2-3,1774258681108,1774258681416,0.308
autodock011,C1-node3,worker-c1-3,1774258675560,1774258675796,0.236
autodock099,C1-node4,worker-c1-4,1774258680783,1774258680917,0.134
autodock012,C1-node4,worker-c1-4,1774258675566,1774258675801,0.235
autodock097,C1-node2,worker-c1-2,1774258680719,1774258680855,0.136
autodock010,C1-node2,worker-c1-2,1774258675562,1774258675800,0.238
autodock098,C1-node3,worker-c1-3,1774258680740,1774258680879,0.139
autodock091,C1-node4,worker-c1-4,1774258680390,1774258680536,0.146
autodock092,C2-node1,worker-c2-1,1774258680961,1774258681208,0.247
autodock090,C1-node3,worker-c1-3,1774258680300,1774258680439,0.139
autodock068,C1-node1,worker-c1-1,1774258678635,1774258678776,0.141
autodock069,C1-node2,worker-c1-2,1774258679301,1774258679448,0.147
autodock062,C1-node3,worker-c1-3,1774258678506,1774258678630,0.124
autodock063,C1-node4,worker-c1-4,1774258678502,1774258678633,0.131
autodock060,C1-node1,worker-c1-1,1774258677800,1774258677933,0.133
autodock061,C1-node2,worker-c1-2,1774258678414,1774258678540,0.126
autodock066,C2-node3,worker-c2-3,1774258679643,1774258680033,0.390
autodock067,C2-node4,worker-c2-4,1774258679505,1774258679899,0.394
autodock100,C1-node1,worker-c1-1,1774258680365,1774258680519,0.154
autodock064,C2-node1,worker-c2-1,1774258678914,1774258679227,0.313
autodock065,C2-node2,worker-c2-2,1774258679367,1774258679674,0.307
autodock079,C3-node4,worker-c3-4,1774258679843,1774258680148,0.305
autodock073,C1-node2,worker-c1-2,1774258679399,1774258679551,0.152
autodock074,C1-node3,worker-c1-3,1774258679421,1774258679575,0.154
autodock071,C1-node4,worker-c1-4,1774258679391,1774258679549,0.158
autodock072,C1-node1,worker-c1-1,1774258678845,1774258679009,0.164
autodock077,C3-node2,worker-c3-2,1774258679766,1774258680148,0.382
autodock078,C3-node3,worker-c3-3,1774258679844,1774258680363,0.519
autodock075,C1-node4,worker-c1-4,1774258679425,1774258679580,0.155
autodock076,C3-node1,worker-c3-1,1774258679797,1774258680242,0.445
