task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Epigenomics_fast_t041,C1-node2,worker-c1-2,1774183974498,1774183974646,0.148
Epigenomics_fast_t042,C1-node4,worker-c1-4,1774184049374,1774184049494,0.120
Epigenomics_fast_t040,C1-node3,worker-c1-3,1774183951834,1774183952040,0.206
Epigenomics_fast_t045,C1-node2,worker-c1-2,1774184136863,1774184137038,0.175
Epigenomics_fast_t046,C1-node3,worker-c1-3,1774184114525,1774184114679,0.154
Epigenomics_fast_t043,C2-node3,worker-c2-3,1774184160840,1774184161014,0.174
Epigenomics_fast_t044,C2-node1,worker-c2-1,1774184092724,1774184092972,0.248
Epigenomics_fast_t049,C1-node1,worker-c1-1,1774184119304,1774184119463,0.159
Epigenomics_fast_t047,C2-node3,worker-c2-3,1774184143157,1774184143301,0.144
Epigenomics_fast_t048,C1-node2,worker-c1-2,1774184127166,1774184127349,0.183
Epigenomics_fast_t030,C4-node2,worker-c4-2,1774183949645,1774183949953,0.308
Epigenomics_fast_t031,C1-node4,worker-c1-4,1774183948112,1774183948248,0.136
Epigenomics_fast_t034,C3-node2,worker-c3-2,1774184071365,1774184071545,0.180
Epigenomics_fast_t035,C1-node2,worker-c1-2,1774184037500,1774184037631,0.131
Epigenomics_fast_t032,C1-node4,worker-c1-4,1774184065046,1774184065182,0.136
Epigenomics_fast_t033,C2-node1,worker-c2-1,1774184020482,1774184020597,0.115
Epigenomics_fast_t038,C2-node2,worker-c2-2,1774184043015,1774184043169,0.154
Epigenomics_fast_t039,C3-node1,worker-c3-1,1774184038855,1774184039145,0.290
Epigenomics_fast_t036,C1-node1,worker-c1-1,1774184043322,1774184043467,0.145
Epigenomics_fast_t037,C2-node3,worker-c2-3,1774184017000,1774184017147,0.147
Epigenomics_fast_t060,C3-node1,worker-c3-1,1774184229689,1774184229813,0.124
Epigenomics_fast_t063,C1-node4,worker-c1-4,1774184170994,1774184171200,0.206
Epigenomics_fast_t064,C1-node1,worker-c1-1,1774184316012,1774184316145,0.133
Epigenomics_fast_t061,C4-node2,worker-c4-2,1774184172813,1774184173215,0.402
Epigenomics_fast_t062,C2-node3,worker-c2-3,1774184216004,1774184216173,0.169
Epigenomics_fast_t067,C3-node2,worker-c3-2,1774184315030,1774184315311,0.281
Epigenomics_fast_t100,C1-node1,worker-c1-1,1774184626657,1774184626826,0.169
Epigenomics_fast_t068,C1-node2,worker-c1-2,1774184332579,1774184332735,0.156
Epigenomics_fast_t065,C2-node1,worker-c2-1,1774184245758,1774184245950,0.192
Epigenomics_fast_t066,C1-node3,worker-c1-3,1774184262735,1774184262903,0.168
Epigenomics_fast_t069,C3-node3,worker-c3-3,1774184311047,1774184311228,0.181
Epigenomics_fast_t052,C2-node1,worker-c2-1,1774184188439,1774184188590,0.151
Epigenomics_fast_t053,C1-node3,worker-c1-3,1774184213694,1774184213840,0.146
Epigenomics_fast_t050,C1-node4,worker-c1-4,1774184109274,1774184109432,0.158
Epigenomics_fast_t051,C2-node2,worker-c2-2,1774184157768,1774184157897,0.129
