task_id,node_id,container_name,start_epoch_ms,finish_epoch_ms,duration_seconds
Epigenomics_fast_t041,C2-node1,worker-c2-1,1774183124253,1774183124486,0.233
Epigenomics_fast_t042,C1-node1,worker-c1-1,1774183158674,1774183158819,0.145
Epigenomics_fast_t040,C1-node2,worker-c1-2,1774183087911,1774183088161,0.250
Epigenomics_fast_t045,C1-node3,worker-c1-3,1774183279787,1774183279926,0.139
Epigenomics_fast_t046,C1-node1,worker-c1-1,1774183282114,1774183282250,0.136
Epigenomics_fast_t043,C1-node2,worker-c1-2,1774183288441,1774183288578,0.137
Epigenomics_fast_t044,C1-node2,worker-c1-2,1774183213597,1774183213771,0.174
Epigenomics_fast_t049,C1-node3,worker-c1-3,1774183243844,1774183244060,0.216
Epigenomics_fast_t047,C3-node2,worker-c3-2,1774183273156,1774183273290,0.134
Epigenomics_fast_t048,C1-node1,worker-c1-1,1774183236311,1774183236524,0.213
Epigenomics_fast_t030,C2-node1,worker-c2-1,1774183042585,1774183042749,0.164
Epigenomics_fast_t031,C1-node2,worker-c1-2,1774183045140,1774183045290,0.150
Epigenomics_fast_t034,C3-node3,worker-c3-3,1774183158790,1774183158973,0.183
Epigenomics_fast_t035,C1-node3,worker-c1-3,1774183115862,1774183116000,0.138
Epigenomics_fast_t032,C1-node2,worker-c1-2,1774183213446,1774183213594,0.148
Epigenomics_fast_t033,C2-node1,worker-c2-1,1774183171312,1774183171436,0.124
Epigenomics_fast_t038,C2-node2,worker-c2-2,1774183158952,1774183159103,0.151
Epigenomics_fast_t039,C4-node1,worker-c4-1,1774183172267,1774183172663,0.396
Epigenomics_fast_t036,C1-node1,worker-c1-1,1774183171091,1774183171230,0.139
Epigenomics_fast_t037,C3-node3,worker-c3-3,1774183142786,1774183142962,0.176
Epigenomics_fast_t060,C3-node3,worker-c3-3,1774183379282,1774183379391,0.109
Epigenomics_fast_t063,C1-node1,worker-c1-1,1774183322920,1774183323053,0.133
Epigenomics_fast_t064,C1-node2,worker-c1-2,1774183441984,1774183442124,0.140
Epigenomics_fast_t061,C3-node2,worker-c3-2,1774183338082,1774183338267,0.185
Epigenomics_fast_t062,C2-node1,worker-c2-1,1774183342190,1774183342316,0.126
Epigenomics_fast_t067,C1-node3,worker-c1-3,1774183452685,1774183452854,0.169
Epigenomics_fast_t100,C1-node1,worker-c1-1,1774183771431,1774183771586,0.155
Epigenomics_fast_t068,C1-node2,worker-c1-2,1774183470472,1774183470649,0.177
Epigenomics_fast_t065,C3-node1,worker-c3-1,1774183392375,1774183392574,0.199
Epigenomics_fast_t066,C1-node2,worker-c1-2,1774183413402,1774183413651,0.249
Epigenomics_fast_t069,C1-node2,worker-c1-2,1774183452054,1774183452216,0.162
Epigenomics_fast_t052,C2-node2,worker-c2-2,1774183339074,1774183339237,0.163
Epigenomics_fast_t053,C1-node1,worker-c1-1,1774183366880,1774183367030,0.150
Epigenomics_fast_t050,C2-node1,worker-c2-1,1774183307774,1774183307938,0.164
Epigenomics_fast_t051,C4-node2,worker-c4-2,1774183296361,1774183296661,0.300
Epigenomics_fast_t056,C1-node3,worker-c1-3,1774183370544,1774183370686,0.142
Epigenomics_fast_t057,C1-node3,worker-c1-3,1774183319682,1774183319830,0.148
Epigenomics_fast_t054,C1-node2,worker-c1-2,1774183334586,1774183334769,0.183
Epigenomics_fast_t055,C1-node3,worker-c1-3,1774183307939,1774183308168,0.229
Epigenomics_fast_t058,C3-node1,worker-c3-1,1774183328010,1774183328354,0.344
Epigenomics_fast_t059,C3-node1,worker-c3-1,1774183392201,1774183392372,0.171
Epigenomics_fast_t009,C1-node3,worker-c1-3,1774182859026,1774182859184,0.158
Epigenomics_fast_t007,C3-node2,worker-c3-2,1774182859024,1774182859190,0.166
Epigenomics_fast_t008,C1-node1,worker-c1-1,1774182859025,1774182859187,0.162
Epigenomics_fast_t081,C3-node1,worker-c3-1,1774183538069,1774183538264,0.195
Epigenomics_fast_t082,C1-node3,worker-c1-3,1774183550327,1774183550467,0.140
Epigenomics_fast_t080,C2-node2,worker-c2-2,1774183548143,1774183548304,0.161
Epigenomics_fast_t085,C3-node2,worker-c3-2,1774183667976,1774183668272,0.296
Epigenomics_fast_t086,C2-node2,worker-c2-2,1774183649444,1774183649587,0.143
Epigenomics_fast_t083,C3-node3,worker-c3-3,1774183585472,1774183585683,0.211
Epigenomics_fast_t084,C1-node3,worker-c1-3,1774183666614,1774183666763,0.149
Epigenomics_fast_t001,C2-node2,worker-c2-2,1774182859018,1774182859165,0.147
Epigenomics_fast_t089,C2-node1,worker-c2-1,1774183585688,1774183585919,0.231
Epigenomics_fast_t002,C1-node3,worker-c1-3,1774182859020,1774182859177,0.157
Epigenomics_fast_t087,C1-node1,worker-c1-1,1774183585687,1774183585922,0.235
Epigenomics_fast_t088,C1-node2,worker-c1-2,1774183611038,1774183611219,0.181
Epigenomics_fast_t005,C1-node2,worker-c1-2,1774182859019,1774182859169,0.150
Epigenomics_fast_t006,C2-node1,worker-c2-1,1774182859021,1774182859173,0.152
Epigenomics_fast_t003,C3-node1,worker-c3-1,1774182859021,1774182859181,0.160
Epigenomics_fast_t004,C1-node1,worker-c1-1,1774182859023,1774182859193,0.170
Epigenomics_fast_t070,C1-node3,worker-c1-3,1774183435458,1774183435613,0.155
Epigenomics_fast_t071,C1-node1,worker-c1-1,1774183406408,1774183406577,0.169
Epigenomics_fast_t074,C1-node1,worker-c1-1,1774183525986,1774183526133,0.147
Epigenomics_fast_t075,C1-node2,worker-c1-2,1774183550986,1774183551118,0.132
Epigenomics_fast_t072,C3-node2,worker-c3-2,1774183457545,1774183457683,0.138
Epigenomics_fast_t073,C2-node1,worker-c2-1,1774183442527,1774183442666,0.139
Epigenomics_fast_t078,C1-node3,worker-c1-3,1774183561813,1774183561934,0.121
Epigenomics_fast_t079,C2-node2,worker-c2-2,1774183494026,1774183494217,0.191
Epigenomics_fast_t076,C2-node1,worker-c2-1,1774183530652,1774183530867,0.215
Epigenomics_fast_t077,C3-node3,worker-c3-3,1774183504874,1774183505067,0.193
Epigenomics_fast_t029,C2-node1,worker-c2-1,1774183048968,1774183049116,0.148
Epigenomics_fast_t020,C1-node3,worker-c1-3,1774182918177,1774182918334,0.157
Epigenomics_fast_t023,C3-node2,worker-c3-2,1774183024481,1774183024769,0.288
Epigenomics_fast_t024,C1-node1,worker-c1-1,1774182979412,1774182979563,0.151
Epigenomics_fast_t021,C1-node2,worker-c1-2,1774183035458,1774183035584,0.126
Epigenomics_fast_t022,C2-node2,worker-c2-2,1774183026935,1774183027085,0.150
Epigenomics_fast_t027,C1-node3,worker-c1-3,1774183058207,1774183058358,0.151
Epigenomics_fast_t028,C3-node3,worker-c3-3,1774183001419,1774183001677,0.258
Epigenomics_fast_t025,C2-node2,worker-c2-2,1774183062632,1774183062777,0.145
Epigenomics_fast_t026,C2-node2,worker-c2-2,1774183015046,1774183015281,0.235
Epigenomics_fast_t018,C3-node1,worker-c3-1,1774182891954,1774182892102,0.148
Epigenomics_fast_t019,C2-node2,worker-c2-2,1774182934286,1774182934415,0.129
Epigenomics_fast_t092,C1-node3,worker-c1-3,1774183638017,1774183638165,0.148
Epigenomics_fast_t093,C1-node1,worker-c1-1,1774183659033,1774183659173,0.140
Epigenomics_fast_t090,C3-node1,worker-c3-1,1774183661941,1774183662078,0.137
Epigenomics_fast_t091,C2-node1,worker-c2-1,1774183605558,1774183605755,0.197
Epigenomics_fast_t096,C1-node2,worker-c1-2,1774183704222,1774183704360,0.138
Epigenomics_fast_t097,C2-node1,worker-c2-1,1774183688842,1774183688978,0.136
Epigenomics_fast_t094,C2-node2,worker-c2-2,1774183725672,1774183725810,0.138
Epigenomics_fast_t095,C1-node1,worker-c1-1,1774183711828,1774183714074,2.246
Epigenomics_fast_t012,C1-node2,worker-c1-2,1774182878064,1774182878208,0.144
Epigenomics_fast_t013,C1-node3,worker-c1-3,1774182907344,1774182907533,0.189
Epigenomics_fast_t010,C1-node1,worker-c1-1,1774182891029,1774182891169,0.140
Epigenomics_fast_t098,C2-node2,worker-c2-2,1774183726742,1774183726945,0.203
Epigenomics_fast_t011,C2-node1,worker-c2-1,1774182944825,1774182945011,0.186
Epigenomics_fast_t099,C1-node2,worker-c1-2,1774183746389,1774183746542,0.153
Epigenomics_fast_t016,C1-node2,worker-c1-2,1774182933632,1774182933764,0.132
Epigenomics_fast_t017,C1-node1,worker-c1-1,1774182923922,1774182924084,0.162
Epigenomics_fast_t014,C1-node3,worker-c1-3,1774182919861,1774182920089,0.228
Epigenomics_fast_t015,C2-node1,worker-c2-1,1774182933452,1774182933570,0.118
